"filename", "language", "Markdown", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\scripts\create-test-events.js", "JavaScript", 0, 404, 0, 0, 0, 0, 21, 33, 458
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\scripts\create-test-users.js", "JavaScript", 0, 121, 0, 0, 0, 0, 8, 16, 145
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\scripts\migrateEventRatings.js", "JavaScript", 0, 34, 0, 0, 0, 0, 7, 10, 51
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\scripts\seedCourts.js", "JavaScript", 0, 67, 0, 0, 0, 0, 4, 8, 79
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\scripts\test-vendor-loyalty-program.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 15, 153
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\server.js", "JavaScript", 0, 68, 0, 0, 0, 0, 12, 11, 91
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\standalone-booth-events-final.json", "JSON", 0, 0, 206, 0, 0, 0, 0, 1, 207
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\standalone-booth-events.json", "JSON", 0, 0, 222, 0, 0, 0, 0, 1, 223
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\standalone-booths-data.json", "JSON", 0, 0, 146, 0, 0, 0, 0, 1, 147
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\standalone-booths.json", "JSON", 0, 0, 114, 0, 0, 0, 0, 1, 115
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\utils\mailer.js", "JavaScript", 0, 111, 0, 0, 0, 0, 4, 14, 129
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\utils\sendGymCancellationEmail.js", "JavaScript", 0, 106, 0, 0, 0, 0, 2, 11, 119
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\utils\sendReceiptEmail.js", "JavaScript", 0, 109, 0, 0, 0, 0, 2, 11, 122
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\utils\sendRefundEmail.js", "JavaScript", 0, 100, 0, 0, 0, 0, 2, 11, 113
"c:\Users\Youssef Khaled\Documents\GitHub\Bindly\backend\utils\sendWorkshopCompletionEmail.js", "JavaScript", 0, 101, 0, 0, 0, 0, 2, 11, 114
